file,label
DFDC/dfdc_train_part_0/xtevltafix.mp4,deepfake
DFDC/dfdc_train_part_0/gpjhljtyoq.mp4,deepfake
DFDC/dfdc_train_part_1/lafftwaoce.mp4,deepfake
DFDC/dfdc_train_part_1/tbyrjoowsv.mp4,deepfake
DFDC/dfdc_train_part_10/mrerjxgkgx.mp4,deepfake
DFDC/dfdc_train_part_10/ozxnjahnyo.mp4,deepfake
DFDC/dfdc_train_part_11/cdwoinhglz.mp4,deepfake
DFDC/dfdc_train_part_11/phfanfjvia.mp4,deepfake
DFDC/dfdc_train_part_12/iaxhdplsjw.mp4,deepfake
DFDC/dfdc_train_part_12/mwbjozxran.mp4,deepfake
DFDC/dfdc_train_part_13/etxenjfnaf.mp4,deepfake
DFDC/dfdc_train_part_13/ummgdlxuqc.mp4,deepfake
DFDC/dfdc_train_part_14/gmrpufmznq.mp4,deepfake
DFDC/dfdc_train_part_14/qplghdvrkz.mp4,deepfake
DFDC/dfdc_train_part_15/gumtanuzts.mp4,deepfake
DFDC/dfdc_train_part_15/qazjesxsez.mp4,deepfake
DFDC/dfdc_train_part_16/suohhqgqsn.mp4,deepfake
DFDC/dfdc_train_part_16/ihlbiaygvz.mp4,deepfake
DFDC/dfdc_train_part_17/ndzydaaxlz.mp4,deepfake
DFDC/dfdc_train_part_17/oqgtonfnxl.mp4,deepfake
DFDC/dfdc_train_part_18/nlonlegrdk.mp4,deepfake
DFDC/dfdc_train_part_18/euovhdcpim.mp4,deepfake
DFDC/dfdc_train_part_19/rtteygvedk.mp4,deepfake
DFDC/dfdc_train_part_19/dffmijyodr.mp4,deepfake
DFDC/dfdc_train_part_2/gfsoiepxno.mp4,deepfake
DFDC/dfdc_train_part_2/ybnjvhunta.mp4,deepfake
DFDC/dfdc_train_part_20/jmldzfyqus.mp4,deepfake
DFDC/dfdc_train_part_20/othfbpeqyn.mp4,deepfake
DFDC/dfdc_train_part_21/gjmpseimsk.mp4,deepfake
DFDC/dfdc_train_part_21/pvljjyeuyi.mp4,deepfake
DFDC/dfdc_train_part_22/ryowoczves.mp4,deepfake
DFDC/dfdc_train_part_22/dbmamolath.mp4,deepfake
DFDC/dfdc_train_part_23/xnaywmypvz.mp4,deepfake
DFDC/dfdc_train_part_23/wiqlpmenil.mp4,deepfake
DFDC/dfdc_train_part_24/pbjbpxlhxy.mp4,deepfake
DFDC/dfdc_train_part_24/acrpacryoy.mp4,deepfake
DFDC/dfdc_train_part_25/zpqoxwdgfx.mp4,deepfake
DFDC/dfdc_train_part_25/buzlryubkx.mp4,deepfake
DFDC/dfdc_train_part_26/cnvhlcuyjq.mp4,deepfake
DFDC/dfdc_train_part_26/nyhypmuqhq.mp4,deepfake
DFDC/dfdc_train_part_27/xwojylnwtl.mp4,deepfake
DFDC/dfdc_train_part_27/lxgdlsvudr.mp4,deepfake
DFDC/dfdc_train_part_28/zdzvkctcgd.mp4,deepfake
DFDC/dfdc_train_part_28/ypjxnxtytu.mp4,deepfake
DFDC/dfdc_train_part_29/ordmqjhzis.mp4,deepfake
DFDC/dfdc_train_part_29/jfcimzbqag.mp4,deepfake
DFDC/dfdc_train_part_3/nzyjjerssg.mp4,deepfake
DFDC/dfdc_train_part_3/cbnyssjaho.mp4,deepfake
DFDC/dfdc_train_part_30/rkanbumofm.mp4,deepfake
DFDC/dfdc_train_part_30/dvdiqmebgv.mp4,deepfake
DFDC/dfdc_train_part_31/zdprazmiaa.mp4,deepfake
DFDC/dfdc_train_part_31/qeplzsixvj.mp4,deepfake
DFDC/dfdc_train_part_32/laftelzwdu.mp4,deepfake
DFDC/dfdc_train_part_32/halurquqxa.mp4,deepfake
DFDC/dfdc_train_part_33/fnazspfnbs.mp4,deepfake
DFDC/dfdc_train_part_33/xacvqczazm.mp4,deepfake
DFDC/dfdc_train_part_34/pfnevzdekk.mp4,deepfake
DFDC/dfdc_train_part_34/vypqvuqtiq.mp4,deepfake
DFDC/dfdc_train_part_35/npnxvnozcs.mp4,deepfake
DFDC/dfdc_train_part_35/lkzngfudax.mp4,deepfake
DFDC/dfdc_train_part_36/rbkxjcwygf.mp4,deepfake
DFDC/dfdc_train_part_36/vdjjanykyc.mp4,deepfake
